location,total,ble_mac
Lemongrass,0,181
Lemongrass,1,180
Lemongrass,2,183
Lemongrass,3,184
Lemongrass,4,177
Lemongrass,5,175
Lemongrass,6,201
Lemongrass,7,520
Lemongrass,8,710
Lemongrass,9,1419
Lemongrass,10,2266
Lemongrass,11,4147
Lemongrass,12,6035
Lemongrass,13,4943
Lemongrass,14,4072
Lemongrass,15,3602
Lemongrass,16,3044
Lemongrass,17,3157
Lemongrass,18,3403
Lemongrass,19,2040
Lemongrass,20,966
Lemongrass,21,500
Lemongrass,22,364
Lemongrass,23,191
Panda Express,0,106
Panda Express,1,107
Panda Express,2,111
Panda Express,3,108
Panda Express,4,109
Panda Express,5,111
Panda Express,6,186
Panda Express,7,380
Panda Express,8,585
Panda Express,9,1053
Panda Express,10,1334
Panda Express,11,2196
Panda Express,12,2990
Panda Express,13,3088
Panda Express,14,2579
Panda Express,15,2067
Panda Express,16,1594
Panda Express,17,1152
Panda Express,18,1132
Panda Express,19,748
Panda Express,20,673
Panda Express,21,288
Panda Express,22,206
Panda Express,23,113
Rubio's,0,36
Rubio's,1,13
Rubio's,2,6
Rubio's,3,5
Rubio's,4,5
Rubio's,5,21
Rubio's,6,118
Rubio's,7,649
Rubio's,8,1252
Rubio's,9,2310
Rubio's,10,3418
Rubio's,11,3344
Rubio's,12,3423
Rubio's,13,4322
Rubio's,14,4497
Rubio's,15,4135
Rubio's,16,3636
Rubio's,17,4202
Rubio's,18,3419
Rubio's,19,1902
Rubio's,20,1120
Rubio's,21,681
Rubio's,22,239
Rubio's,23,258
Subway,2,1
Subway,4,1
Subway,6,23
Subway,7,50
Subway,8,72
Subway,9,257
Subway,10,635
Subway,11,1288
Subway,12,1796
Subway,13,1747
Subway,14,1553
Subway,15,1294
Subway,16,1006
Subway,17,848
Subway,18,747
Subway,19,350
Subway,20,174
Subway,21,38
Subway,22,36
Subway,23,15
